scanId,type,scantime,gpsvalid,gpslatitude,gpslongitude,gpsaccuracy,gpsage,bssid,ssid,rssi,wifilatitude/bluetoothlatitude,wifilongitude/bluetoothlongitude,wifiaccuracy/bluetoothaccuracy,cpslat,cpslon,cpsacc,wifiId/bluetoothId/bluetoothCellId,scannerId,wifiIndoor,freq,gpsaltitude,floor,btAge,clLat,clLon,clAcc,pressure,nbrofSteps,refpointLat,refpointLon,slamFloor,indoorWifiLatitude,indoorWifiLongitude,indoorWifiAccuracy,buildingId,scanIsIndoor
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,00:22:07:1c:06:49,"OWNIT_4A",-84,55.711583,13.213874,40,55.71170286021,13.213341983638,48,213607613,324,0,2457,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:c2:21,"LU weblogon (key: lu2016-1)",-84,55.711190,13.213520,150,55.71170286021,13.213341983638,48,934038918,324,0,2437,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,00:22:07:3a:28:11,"OWNIT_58",-85,55.711568,13.212928,43,55.71170286021,13.213341983638,48,717467275,324,0,2462,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:c4:11,"LU weblogon (key: lu2016-1)",-85,55.711809,13.213111,68,55.71170286021,13.213341983638,48,934038885,324,0,5220,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:c4:10,"eduroam",-85,55.711812,13.213135,63,55.71170286021,13.213341983638,48,934038884,324,0,5220,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,00:22:07:1b:ff:ce,"OWNIT_CF",-85,55.711579,13.213783,51,55.71170286021,13.213341983638,48,217757214,324,0,2437,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,e0:91:f5:f8:4e:d0,"INTENO_93",-85,55.711494,13.214008,30,55.71170286021,13.213341983638,48,745784774,324,0,2412,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,6c:70:9f:e9:42:45,"Siyu's Wi-Fi Network",-86,55.711543,13.213906,39,55.71170286021,13.213341983638,48,474521280,324,0,5180,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:c4:12,"LND_INTRA",-86,55.711776,13.213076,66,55.71170286021,13.213341983638,48,934038881,324,0,5220,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:d3:d1:b0,"eduroam",-87,55.711916,13.209818,64,55.71170286021,13.213341983638,48,812726037,324,0,5300,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:d3:d1:b1,"LU weblogon (key: lu2016-1)",-87,55.711917,13.209819,59,55.71170286021,13.213341983638,48,812726035,324,0,5300,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:a9:64:10,"eduroam",-87,55.711663,13.213385,30,55.71170286021,13.213341983638,48,919999134,324,0,5280,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:d3:d1:b2,"LND_INTRA",-88,55.711958,13.209630,129,55.71170286021,13.213341983638,48,933849440,324,0,5300,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:da:52,"LND_INTRA",-88,55.711732,13.212850,61,55.71170286021,13.213341983638,48,934038882,324,0,5320,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:da:51,"LU weblogon (key: lu2016-1)",-88,55.711731,13.212867,61,55.71170286021,13.213341983638,48,934038883,324,0,5320,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:a9:64:11,"LU weblogon (key: lu2016-1)",-88,55.711673,13.213305,42,55.71170286021,13.213341983638,48,923541063,324,0,5280,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:a9:64:12,"LND_INTRA",-88,55.711663,13.213271,42,55.71170286021,13.213341983638,48,934038871,324,0,5280,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,ac:a3:1e:f5:da:50,"eduroam",-88,55.711733,13.212863,60,55.71170286021,13.213341983638,48,934038879,324,0,5320,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:a9:60:52,"LND_INTRA",-89,55.711762,13.213812,23,55.71170286021,13.213341983638,48,934038878,324,0,5260,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
